,service,food,anecdotes/miscellaneous,ambience,price
0,0.15315023,-0.2075735,-0.12816718,0.13455379,0.07499641
1,-0.1449249,-0.1755548,-0.018360058,-0.084316045,0.014590118
2,0.12434086,0.1413962,-0.03740393,-0.1806725,-0.11142251
3,-0.15356089,0.03947008,0.18574996,0.122262985,0.11796322
4,0.16985032,-0.1948326,0.2074172,-0.15077737,0.09641747
5,-0.13236052,0.21509269,0.31374618,0.106957585,-0.046741247
6,0.19462222,0.09710951,-0.3216094,0.12736401,0.17347234
7,-0.12877141,0.1484219,-0.2719878,-0.16401145,0.15443861
8,0.12588729,-0.24528824,-0.05452416,-0.0929999,-0.1318984
9,0.09640789,-0.25851837,0.20589173,0.15141353,-0.16866612
10,0.0224468,-0.015021955,-0.2525465,0.07788301,0.18111014
11,-0.1186146,0.10945961,0.2216705,0.041089147,0.05749756
12,0.10369109,0.16759652,0.049638122,-0.17983322,-0.16502957
13,-0.1250768,0.14068004,-0.30997023,0.10981366,0.17842889
14,-0.19505659,0.01869691,0.19896904,-0.11085295,-0.07316526
15,0.09955907,-0.18496047,-0.21662866,-0.14320783,0.1268742
16,0.006094197,-0.1635935,-0.23407838,-0.13048302,-0.088558204
17,-0.14413607,-0.16333586,-0.21077421,-0.16645001,-0.15189376
18,0.16636008,-0.2544021,-0.18411179,0.14673366,-0.16317117
19,-0.10668804,0.1476805,0.232898,0.08022297,-0.0849236
20,-0.08595047,-0.18303363,-0.20526601,-0.003641435,0.1445869
21,-0.14420412,-0.015241554,0.023307763,0.12206453,0.11882383
22,-0.18637039,-0.029278269,0.07082872,-0.13130772,0.077506155
23,-0.12729706,-0.19253969,-0.15142603,0.18758407,-0.042911153
24,0.15740901,0.22490372,0.14555082,-0.12511733,0.04160208
25,-0.16142666,0.20125109,0.020564778,0.13149941,0.06498804
26,-0.19467752,0.14284615,0.009311926,-0.085141815,-0.06885198
27,0.212533,0.23190764,0.015781632,-0.10400617,0.05729327
28,0.15146051,0.20637842,-0.027860543,0.14090656,0.011036229
29,-0.08361604,-0.28186628,-0.23817356,0.16601615,0.14115678
30,0.21608545,0.19424148,-0.17752303,-0.14443499,-0.094212964
31,-0.20840874,0.16851854,-0.22556756,0.07973316,-0.115979426
32,-0.012203514,-0.24881151,-0.018912075,-0.1980941,-0.15701021
33,0.0070159207,-0.2083402,-0.10608779,-0.18385063,0.05472595
34,-0.12928908,-0.08213846,-0.25344613,0.16739014,-0.16578975
35,-0.10546507,0.19381666,0.025071949,0.12917106,-0.11077319
36,0.16670604,0.23826517,-0.28155598,0.072745256,0.12730145
37,-0.20340681,-0.19768122,-0.18445396,0.083641455,-0.1386882
38,-0.1879813,-0.14641401,0.2613824,0.11401671,0.1254539
39,-0.114456736,0.22175145,0.20467393,-0.0700179,-0.1517171
40,-0.18623005,0.16939989,0.1891721,-0.08075033,-0.1544659
41,-0.11808309,-0.26137596,0.23918077,0.08419794,0.07265613
42,0.20820183,-0.27450383,0.268803,-0.0826117,0.074699014
43,-0.13935353,0.24086703,-0.21349701,-0.19328997,0.07796448
44,-0.059548203,0.18479045,0.016734552,-0.19558762,-0.081423596
45,0.13137211,-0.031553607,-0.25511956,-0.1282894,-0.11967962
46,0.09957966,0.2304515,-0.21325183,-0.09458274,-0.054449663
47,0.05086419,0.2135601,0.09359346,0.13959382,0.1206055
48,0.029553905,0.21956752,-0.2260333,0.09975558,-0.005184545
49,-0.057659086,0.28552878,0.26817045,-0.18765849,-0.04446808
50,0.16798417,0.070964135,-0.0048513985,0.07384325,-0.12617432
51,-0.111851625,-0.2262976,0.20783705,0.0882056,0.12604308
52,-0.15190199,-0.250305,-0.00015865765,-0.10486232,0.13876586
53,-0.09707199,0.12331303,-0.014148252,0.1948239,0.14423653
54,-0.059969023,0.22989118,0.25972334,-0.038063083,0.13420108
55,0.0016893907,0.21966973,-0.2490682,-0.14525959,0.062307537
56,0.11802577,0.24359182,-0.214935,0.18336542,-0.081300825
57,0.12103357,0.17169976,-0.11336055,0.1787296,0.12496331
58,-0.1706542,-0.13770694,0.22088762,-0.07544771,-0.09027256
59,-0.19254856,0.22675905,0.27331883,0.12643659,-0.14563455
60,-0.18372348,-0.24249104,0.3298958,0.0667844,0.15748936
61,0.1639156,0.0612485,0.21430582,-0.1953363,0.16684653
62,-0.04591453,-0.233155,-0.33818012,-0.19344419,-0.06569259
63,0.19553949,0.053053897,-0.19659726,-0.16781336,0.023952058
64,-0.065323584,-0.0022745214,-0.20817734,0.18031055,0.101485476
65,0.1878328,0.21613026,0.17898557,0.14467677,0.06484641
66,-0.16416779,-0.18794711,0.1316132,0.17913996,0.08724819
67,0.04275237,0.09311719,-0.012811151,-0.079188034,-0.11394776
68,0.10409968,-0.036198065,-0.2317031,0.12772463,0.06853563
69,-0.037911978,0.19651106,-0.2913344,0.14851682,0.10634241
70,-0.14016123,-0.008715777,-0.025034431,0.10951004,0.16150212
71,0.15174882,0.018344056,0.02084133,0.18264456,0.17308092
72,-0.12413809,-0.25561672,0.03888004,0.06931582,-0.009828344
73,-0.13416754,-0.25444603,0.21450174,-0.17229933,0.13674875
74,-0.17075765,-0.22451448,-0.014579819,0.12257265,0.075516544
75,-0.18017581,-0.26696107,-0.331462,0.11653921,0.16181234
76,0.19331765,0.021462811,-0.24616726,0.17370817,0.11229509
77,-0.1894671,-0.17754476,0.20784222,-0.10461601,-0.13660397
78,-0.08136055,-0.009693738,0.25572416,0.13205989,0.10696698
79,0.17250927,0.017456716,0.021617303,-0.12627406,0.0889185
80,-0.090479374,-0.009924776,0.29389045,0.13239083,0.09424146
81,0.15075625,0.104577586,0.278526,-0.12577145,-0.06241765
82,0.10313274,0.16019061,-0.14738059,-0.20076513,-0.03775796
83,-0.118280865,0.007988933,-0.14542149,0.07951792,0.09689069
84,-0.18051851,0.0029950512,-0.044797987,-0.18838413,0.13540319
85,0.19071944,0.18780968,0.1735195,0.18822682,0.1693145
86,-0.03849446,0.22458345,-0.017002959,-0.0851664,-0.13697547
87,0.19168052,0.18988931,-0.15699169,-0.15376395,0.07097429
88,0.17043754,-0.0073252553,-0.08335384,0.037493285,-0.15726297
89,0.18738511,0.20750718,0.26168427,-0.17421338,-0.034420744
90,0.2061041,0.20514207,-0.27225414,-0.09138352,0.092698514
91,0.14627504,-0.2483348,-0.01861075,-0.20018362,0.18093538
92,0.21628995,-0.1938243,-0.22765288,-0.042659763,0.09755771
93,0.10154121,-0.021711344,-0.2675196,-0.19367087,0.11407632
94,0.17046702,-0.27937654,0.15381278,-0.15862332,-0.05555298
95,-0.18530212,-0.2414746,-0.05279743,-0.1234538,0.15798695
96,0.15782024,-0.19647694,0.06789045,0.10505566,0.14121743
97,0.19242929,0.210971,-0.17800441,-0.14624037,0.14567706
98,0.06541102,0.14252472,-0.025811765,-0.13578679,0.11911191
99,0.019345894,-0.20504707,0.016281677,0.086057745,0.06513591
100,-0.19328901,0.20964967,0.054606404,-0.09193542,-0.07698197
101,-0.12996711,0.25064176,0.031287603,-0.13903408,-0.18200122
102,0.14918146,-0.2107156,0.14534824,0.17525133,0.11552264
103,-0.0038739687,0.051656444,-0.24799651,-0.1541172,0.048805602
104,-0.16565605,-0.17724732,0.29494035,-0.17030501,-0.07131511
105,-0.011885863,-0.2350685,0.0798579,-0.08791979,0.0848855
106,-0.16773087,0.21941833,0.25395405,0.09841176,-0.02623756
107,0.09104449,0.2923488,0.09659784,0.19508985,-0.06506461
108,0.17660849,-0.25131026,-0.14908677,-0.18807383,0.075199254
109,-0.14330333,-0.22923423,0.26731324,-0.037686203,-0.048585046
110,0.12090057,0.17817998,-0.21632777,-0.16323645,-0.16709656
111,0.14992009,0.18036674,-0.14699094,-0.093274996,-0.13771413
112,-0.16176312,-0.18970703,0.017976144,-0.07328635,0.14397733
113,0.13512033,0.24901742,-0.23901425,-0.15136337,-0.1507955
114,0.10570921,0.1540153,-0.08779354,0.0993015,-0.051194087
115,-0.1758591,-0.16111387,-0.05005976,0.13397764,-0.14161639
116,-0.19119246,0.1988252,0.2815635,-0.16909371,-0.085358225
117,-0.14422174,0.03267192,0.22373238,-0.05553458,0.1567154
118,0.19569662,-0.22702174,-0.24753404,-0.07404832,0.07356864
119,-0.09155456,0.18723,0.22795548,-0.15718347,-0.17590518
120,0.026789274,-0.24030934,-0.003922553,0.15961744,0.15933801
121,0.20252727,0.14338927,0.1229289,-0.17521018,0.1777632
122,-0.113095514,-0.24835493,-0.29877025,-0.18865697,-0.12117551
123,-0.15012439,-0.08498819,0.05765827,0.108543985,-0.03856672
124,-0.15371479,-0.02281372,0.051151082,0.081382304,-0.13052784
125,0.16372722,-0.012576354,-0.049397636,-0.08241277,-0.11375468
126,0.16286263,-0.067567945,-0.13466181,0.17270789,0.04872148
127,-0.16653335,0.15421055,-0.071704924,-0.103284374,0.13865842
128,0.19035378,-0.20330104,0.120425224,-0.18896073,-0.14856932
129,-0.0919559,0.19154277,0.31365085,-0.10310365,-0.16005309
130,-0.11929342,-0.06153548,0.2903911,-0.19438191,0.0736079
131,0.18670253,-0.2494928,-0.031054512,-0.12837915,-0.14987016
132,0.09852617,0.018778263,0.03004839,0.11940416,-0.08612282
133,0.21301644,-0.21082295,0.24771732,-0.14249253,0.11612585
134,-0.06654399,0.044341628,-0.30719435,0.13891836,0.05418326
135,0.048294667,-0.11791533,-0.11735665,-0.11662233,-0.043802597
136,0.17064427,-0.15128206,0.20195793,0.13601154,0.10758108
137,-0.21214382,0.25304145,0.2946782,-0.19179723,-0.10938845
138,0.21196035,0.26974532,0.24510203,0.09251791,0.061001778
139,-0.13417712,-0.17960398,-0.17412741,-0.0808874,-0.11149838
140,0.16166303,-0.23049797,-0.22631748,0.0788997,-0.068145074
141,-0.08989444,-0.09305498,0.17946927,-0.20211534,0.08556101
142,0.116769254,-0.21412714,0.009646609,0.19447891,-0.04833494
143,0.029120762,0.065570675,0.17686991,0.1086698,0.12050395
144,-0.048146475,-0.25696063,-0.2754119,-0.07713317,0.15349047
145,-0.10531603,-0.2649588,-0.12287265,-0.20016657,-0.116069965
